,date,info,totalPayment,category,source
0,2021-01-31,Asahi NET,770.0,Utilities,Credit
1,2021-01-29,AEON,3636.0,Kids,Credit
2,2021-01-30,La Vie Douce,2138.0,Eating Out,Credit
3,2021-01-29,Mobie Suica,1000.0,Transportation,Credit
4,2021-01-24,Nitori Café,150.0,Eating Out,Credit
5,2021-01-24,Nitori,1551.0,Household Supplies,Credit
6,2021-01-16,Suica,5000.0,Transportation,Credit
7,2021-01-15,Nitori,1420.0,Household Supplies,Credit
8,2021-01-13,Apple payment,400.0,Utilities,Credit
9,2021-01-13,Maruetsu,1968.0,Groceries,Credit
10,2021-01-11,Nitori Net,61879.0,Furniture,Credit
11,2021-01-10,Mobie Suica,1000.0,Transportation,Credit
12,2021-01-07,Nishimatsuya,746.0,Kids,Credit
13,2021-01-05,Nitori,1290.0,Household Supplies,Credit
14,2021-01-03,Mobie Suica,1000.0,Transportation,Credit
15,2021-01-02,Kohoku Tokkyu,808.0,Groceries,Credit
16,2021-01-02,McDonalds,1190.0,Eating Out,Credit
17,2021-01-01,My Basket Nakagawa Ekikita,373.0,Groceries,Credit
18,2021-01-30,Mosaic Mall,510.0,Unknown,Credit
19,2021-01-20,Tokyu Department Store Tama Plaza,1749.0,Unknown,Credit
20,2021-01-19,Mosaic Mall,410.0,Unknown,Credit
21,2021-01-16,AEON,3514.0,Kids,Credit
22,2021-01-10,Northport mall,4549.0,Kids,Credit
23,2021-01-10,AEON,2278.0,Kids,Credit
24,2021-01-29,Mobie Suica,1000.0,Transportation,Credit
25,2021-01-10,Nancy bottle & detergent,3926.0,Household Supplies,Credit
26,2021-01-10,Dish washer detergent,739.0,Household Supplies,Credit
27,2021-01-11,Medicine & tooth paste & phone case,2872.0,Household Supplies,Credit
28,2021-01-15,Minna Chukyu Book,1446.0,Education,Credit
29,2021-01-18,Cosmetic Vit,1280.0,Household Supplies,Credit
30,2021-01-24,Internet,3732.0,Utilities,Credit
31,2021-01-25,Nancy soap,786.0,Kids,Credit
32,2021-01-26,Mask,1380.0,Household Supplies,Credit
33,2021-01-02,Paypay Tsutaya,878.0,Education,Credit
34,2021-01-02,Paypay Seven Eleven,108.0,Groceries,Credit
35,2021-01-02,Paypay Ponpadour,1143.0,Groceries,Credit
36,2021-01-02,Paypay Daiso,330.0,Household Supplies,Credit
37,2021-01-02,Tsutaya Kohoku,600.0,Education,Credit
38,2021-01-04,Paypay Fitcare,330.0,Household Supplies,Credit
39,2021-01-04,Paypay Big Yosun,492.0,Groceries,Credit
40,2021-01-04,Paypay Big Yosun,3948.0,Groceries,Credit
41,2021-01-05,Paypay Maruetsu,3946.0,Groceries,Credit
42,2021-01-05,Paypay Maruetsu,859.0,Groceries,Credit
43,2021-01-05,Paypay Fitcare,3727.0,Household Supplies,Credit
44,2021-01-06,Paypay Fitcare,1114.0,Household Supplies,Credit
45,2021-01-06,Paypay Maruetsu,2437.0,Groceries,Credit
46,2021-01-07,Paypay Petit Main,3609.0,Kids,Credit
